구별,강간 검거,강간 발생,강도 검거,강도 발생,살인 검거,살인 발생,절도 검거,절도 발생,폭력 검거,폭력 발생
강남구,349,449,18,21,10,13,1650,3850,3705,4284
강동구,123,156,8,6,3,4,789,2366,2248,2712
강북구,126,153,13,14,8,7,618,1434,2348,2649
강서구,191,262,13,13,8,7,1260,2096,2718,3207
관악구,221,320,14,12,8,9,827,2706,2642,3298
광진구,220,240,26,14,4,4,1277,3026,2180,2625
구로구,164,281,11,15,6,8,889,2335,2432,3007
금천구,122,151,6,6,4,3,888,1567,1776,2054
노원구,121,197,7,7,10,10,801,2193,2329,2723
도봉구,106,102,10,9,3,3,478,1063,1303,1487
동대문구,146,173,13,13,5,5,814,1981,2227,2548
동작구,139,285,5,9,5,5,661,1865,1587,1910
마포구,247,294,10,14,8,8,813,2555,2519,2983
서대문구,124,154,4,5,2,2,738,1812,1711,2056
서초구,249,393,6,9,6,8,1091,2635,2098,2399
성동구,119,126,8,9,4,4,597,1607,1395,1612
성북구,124,150,4,5,5,5,741,1785,1855,2209
송파구,178,220,10,13,10,11,1129,3239,2786,3295
양천구,105,120,3,6,5,3,672,1890,2030,2509
영등포구,183,295,20,22,12,14,978,2964,2961,3572
용산구,173,194,14,14,5,5,587,1557,1704,2050
은평구,141,166,6,9,3,3,711,1914,2306,2653
종로구,161,211,9,11,5,6,837,2184,1931,2293
중구,111,170,6,9,2,3,859,2548,1964,2224
중랑구,148,187,9,11,12,13,829,2135,2407,2847
